stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,is_hub,route_count,routes_serving,max_pax_per_vehicle_hour_2024_serving_route
9542,2,0.0002390057361376673,0.04117402567229323,0.0004655312836890841,True,Marlee Ave at Dell Park Ave,43.71406,-79.445731,False,1,109,
6011,2,0.0002390057361376673,0.04294123318388743,0.0005850484344002111,True,Marlee Ave at Lawrence Ave West,43.71525,-79.446207,False,1,109,
3822,8,0.0009560229445506692,0.044868150078488635,0.0011633751523544126,True,Lawrence West Station at Bus Bay 1,43.715672,-79.443696,False,1,109,
4969,2,0.0002390057361376673,0.04209576082357066,0.0012136517342118294,True,Varna Dr at Lawrence Ave West North Side,43.718066,-79.437791,False,1,109,
9058,2,0.0002390057361376673,0.04039940926326826,0.0010941345835007023,True,Varna Dr at Tundra Lane,43.719278,-79.439099,False,1,109,
7930,2,0.0002390057361376673,0.03883520287198915,0.0009746174327895753,True,Varna Dr at Flemington Rd,43.720078,-79.4406,False,1,109,
6894,2,0.0002390057361376673,0.03738827992341524,0.0008551002820784483,True,Flemington Rd at Replin Rd,43.719546,-79.442806,False,1,109,
9223,2,0.0002390057361376673,0.03604795359863349,0.0007355831313673213,True,Flemington Rd at Dynasty Lane,43.718973,-79.446589,False,1,109,
42625,2,0.0002390057361376673,0.03480127168317725,0.0006160659806561942,True,Flemington Rd at Blossomfield Dr,43.71912,-79.448037,False,1,109,
9042,2,0.0002390057361376673,0.033649346260306426,0.0004965488299450671,True,Flemington Rd at Stockton Rd North Side,43.721156,-79.449119,False,1,109,
10385,2,0.0002390057361376673,0.032572890182557795,0.00037703167923393993,True,Flemington Rd at Ranee Ave,43.723093,-79.448443,False,1,109,
4681,2,0.0002390057361376673,0.03156520394328162,0.0002575145285228129,True,Ranee Ave at Varna Dr - Yorkdale Station,43.723727,-79.446059,False,1,109,
10191,2,0.0002390057361376673,0.030817600557365363,0.00013799737781168585,True,Ranee Ave at Mikado Ave,43.724461,-79.44284,False,1,109,
1267,2,0.0002390057361376673,0.03031241420367091,6.449433012434276e-05,True,Ranee Ave at Ameer Ave,43.725147,-79.439662,False,1,109,
2018,2,0.0002390057361376673,0.03031164246059711,6.526265466462858e-05,True,Ameer Ave at Sultana Ave,43.726863,-79.440154,False,1,109,
9737,2,0.0002390057361376673,0.03053218445381494,0.00012028547525141287,True,Ameer Ave at Baycrest Ave,43.727738,-79.440511,False,1,109,
4288,2,0.0002390057361376673,0.03955872569753825,0.0,True,Bathurst Station,43.665235,-79.411347,True,1,307,
4190,2,0.0002390057361376673,0.031216301540315725,0.0005227808226194744,True,Bathurst Station,43.644062,-79.402862,True,1,307,
4142,2,0.0002390057361376673,0.03034585736096591,0.00041521538697946006,True,Bathurst Station,43.642009,-79.40203,True,1,307,
84,2,0.0002390057361376673,0.029531427191651832,0.00030764995133944576,True,Bathurst Station,43.638947,-79.400771,True,1,307,
4261,2,0.0002390057361376673,0.028778936062022156,0.0002060603732349878,True,Fort York Blvd at Gzowski Blvd,43.637609,-79.403939,False,1,307,
4262,2,0.0002390057361376673,0.02845574946591529,0.00013520377674196247,True,Fort York Blvd at Fleet St,43.636519,-79.406992,False,1,307,
4263,2,0.0002390057361376673,0.028228668666202193,0.00010617818299783161,True,Princes' Blvd at Strachan Ave,43.635095,-79.408568,False,1,307,
1813,2,0.0002390057361376673,0.03241364578623913,0.000336010051858026,True,24 Davean Dr,43.762073,-79.36752,False,1,115,
